xi=20
eta=40
x                    y                   
3.096491             2.149123            
3.002699             2.079622            
2.908907             2.010121            
2.815115             1.940621            
2.721323             1.871120            
2.627530             1.801619            
2.533738             1.732119            
2.439946             1.662618            
2.346154             1.593117            
2.252362             1.523617            
2.158570             1.454116            
2.064777             1.384615            
1.970985             1.315115            
1.877193             1.245614            
1.783401             1.176113            
1.689609             1.106613            
1.595816             1.037112            
1.502024             0.967611            
1.408232             0.898111            
1.314440             0.828610            
1.220648             0.759109            
1.126856             0.689609            
1.033063             0.620108            
0.939271             0.550607            
0.845479             0.481107            
0.751687             0.411606            
0.657895             0.342105            
4.368421             2.894737            
4.273954             2.828610            
4.179487             2.762483            
4.085020             2.696356            
3.990553             2.630229            
3.896086             2.564103            
3.801619             2.497976            
3.707152             2.431849            
3.612686             2.365722            
3.518219             2.299595            
3.423752             2.233468            
3.329285             2.167341            
3.234818             2.101215            
3.140351             2.035088            
3.045884             1.968961            
2.951417             1.902834            
2.856950             1.836707            
2.762483             1.770580            
2.668016             1.704453            
2.573549             1.638327            
2.479082             1.572200            
2.384615             1.506073            
2.290148             1.439946            
2.195682             1.373819            
2.101215             1.307692            
2.006748             1.241565            
1.912281             1.175439            
1.817814             1.109312            
1.723347             1.043185            
1.628880             0.977058            
1.534413             0.910931            
1.439946             0.844804            
1.345479             0.778677            
1.251012             0.712551            
1.156545             0.646424            
1.062078             0.580297            
0.967611             0.514170            
0.873144             0.448043            
0.778677             0.381916            
0.684211             0.315789            
4.421053             2.736842            
4.325911             2.674089            
4.230769             2.611336            
4.135628             2.548583            
4.040486             2.485830            
3.945344             2.423077            
3.850202             2.360324            
3.755061             2.297571            
3.659919             2.234818            
3.564777             2.172065            
3.469636             2.109312            
3.374494             2.046559            
3.279352             1.983806            
3.184211             1.921053            
3.089069             1.858300            
2.993927             1.795547            
2.898785             1.732794            
2.803644             1.670040            
2.708502             1.607287            
2.613360             1.544534            
2.518219             1.481781            
2.423077             1.419028            
2.327935             1.356275            
2.232794             1.293522            
2.137652             1.230769            
2.042510             1.168016            
1.947368             1.105263            
1.852227             1.042510            
1.757085             0.979757            
1.661943             0.917004            
1.566802             0.854251            
1.471660             0.791498            
1.376518             0.728745            
1.281377             0.665992            
1.186235             0.603239            
1.091093             0.540486            
0.995951             0.477733            
0.900810             0.414980            
0.805668             0.352227            
0.710526             0.289474            
4.473684             2.578947            
4.377868             2.519568            
4.282051             2.460189            
4.186235             2.400810            
4.090418             2.341430            
3.994602             2.282051            
3.898785             2.222672            
3.802969             2.163293            
3.707152             2.103914            
3.611336             2.044534            
3.515520             1.985155            
3.419703             1.925776            
3.323887             1.866397            
3.228070             1.807018            
3.132254             1.747638            
3.036437             1.688259            
2.940621             1.628880            
2.844804             1.569501            
2.748988             1.510121            
2.653171             1.450742            
2.557355             1.391363            
2.461538             1.331984            
2.365722             1.272605            
2.269906             1.213225            
2.174089             1.153846            
2.078273             1.094467            
1.982456             1.035088            
1.886640             0.975709            
1.790823             0.916329            
1.695007             0.856950            
1.599190             0.797571            
1.503374             0.738192            
1.407557             0.678812            
1.311741             0.619433            
1.215924             0.560054            
1.120108             0.500675            
1.024291             0.441296            
0.928475             0.381916            
0.832659             0.322537            
0.736842             0.263158            
4.526316             2.421053            
4.429825             2.365047            
4.333333             2.309042            
4.236842             2.253036            
4.140351             2.197031            
4.043860             2.141026            
3.947368             2.085020            
3.850877             2.029015            
3.754386             1.973009            
3.657895             1.917004            
3.561404             1.860999            
3.464912             1.804993            
3.368421             1.748988            
3.271930             1.692982            
3.175439             1.636977            
3.078947             1.580972            
2.982456             1.524966            
2.885965             1.468961            
2.789474             1.412955            
2.692982             1.356950            
2.596491             1.300945            
2.500000             1.244939            
2.403509             1.188934            
2.307018             1.132928            
2.210526             1.076923            
2.114035             1.020918            
2.017544             0.964912            
1.921053             0.908907            
1.824561             0.852901            
1.728070             0.796896            
1.631579             0.740891            
1.535088             0.684885            
1.438596             0.628880            
1.342105             0.572874            
1.245614             0.516869            
1.149123             0.460864            
1.052632             0.404858            
0.956140             0.348853            
0.859649             0.292848            
0.763158             0.236842            
4.578947             2.263158            
4.481781             2.210526            
4.384615             2.157895            
4.287449             2.105263            
4.190283             2.052632            
4.093117             2.000000            
3.995951             1.947368            
3.898785             1.894737            
3.801619             1.842105            
3.704453             1.789474            
3.607287             1.736842            
3.510121             1.684211            
3.412955             1.631579            
3.315789             1.578947            
3.218623             1.526316            
3.121457             1.473684            
3.024291             1.421053            
2.927126             1.368421            
2.829960             1.315789            
2.732794             1.263158            
2.635628             1.210526            
2.538462             1.157895            
2.441296             1.105263            
2.344130             1.052632            
2.246964             1.000000            
2.149798             0.947368            
2.052632             0.894737            
1.955466             0.842105            
1.858300             0.789474            
1.761134             0.736842            
1.663968             0.684211            
1.566802             0.631579            
1.469636             0.578947            
1.372470             0.526316            
1.275304             0.473684            
1.178138             0.421053            
1.080972             0.368421            
0.983806             0.315789            
0.886640             0.263158            
0.789474             0.210526            
4.631579             2.105263            
4.533738             2.056005            
4.435897             2.006748            
4.338057             1.957490            
4.240216             1.908232            
4.142375             1.858974            
4.044534             1.809717            
3.946694             1.760459            
3.848853             1.711201            
3.751012             1.661943            
3.653171             1.612686            
3.555331             1.563428            
3.457490             1.514170            
3.359649             1.464912            
3.261808             1.415655            
3.163968             1.366397            
3.066127             1.317139            
2.968286             1.267881            
2.870445             1.218623            
2.772605             1.169366            
2.674764             1.120108            
2.576923             1.070850            
2.479082             1.021592            
2.381242             0.972335            
2.283401             0.923077            
2.185560             0.873819            
2.087719             0.824561            
1.989879             0.775304            
1.892038             0.726046            
1.794197             0.676788            
1.696356             0.627530            
1.598516             0.578273            
1.500675             0.529015            
1.402834             0.479757            
1.304993             0.430499            
1.207152             0.381242            
1.109312             0.331984            
1.011471             0.282726            
0.913630             0.233468            
0.815789             0.184211            
4.684211             1.947368            
4.585695             1.901484            
4.487179             1.855601            
4.388664             1.809717            
4.290148             1.763833            
4.191633             1.717949            
4.093117             1.672065            
3.994602             1.626181            
3.896086             1.580297            
3.797571             1.534413            
3.699055             1.488529            
3.600540             1.442645            
3.502024             1.396761            
3.403509             1.350877            
3.304993             1.304993            
3.206478             1.259109            
3.107962             1.213225            
3.009447             1.167341            
2.910931             1.121457            
2.812416             1.075574            
2.713900             1.029690            
2.615385             0.983806            
2.516869             0.937922            
2.418354             0.892038            
2.319838             0.846154            
2.221323             0.800270            
2.122807             0.754386            
2.024291             0.708502            
1.925776             0.662618            
1.827260             0.616734            
1.728745             0.570850            
1.630229             0.524966            
1.531714             0.479082            
1.433198             0.433198            
1.334683             0.387314            
1.236167             0.341430            
1.137652             0.295547            
1.039136             0.249663            
0.940621             0.203779            
0.842105             0.157895            
4.736842             1.789474            
4.637652             1.746964            
4.538462             1.704453            
4.439271             1.661943            
4.340081             1.619433            
4.240891             1.576923            
4.141700             1.534413            
4.042510             1.491903            
3.943320             1.449393            
3.844130             1.406883            
3.744939             1.364372            
3.645749             1.321862            
3.546559             1.279352            
3.447368             1.236842            
3.348178             1.194332            
3.248988             1.151822            
3.149798             1.109312            
3.050607             1.066802            
2.951417             1.024291            
2.852227             0.981781            
2.753036             0.939271            
2.653846             0.896761            
2.554656             0.854251            
2.455466             0.811741            
2.356275             0.769231            
2.257085             0.726721            
2.157895             0.684211            
2.058704             0.641700            
1.959514             0.599190            
1.860324             0.556680            
1.761134             0.514170            
1.661943             0.471660            
1.562753             0.429150            
1.463563             0.386640            
1.364372             0.344130            
1.265182             0.301619            
1.165992             0.259109            
1.066802             0.216599            
0.967611             0.174089            
0.868421             0.131579            
4.789474             1.631579            
4.689609             1.592443            
4.589744             1.553306            
4.489879             1.514170            
4.390013             1.475034            
4.290148             1.435897            
4.190283             1.396761            
4.090418             1.357625            
3.990553             1.318489            
3.890688             1.279352            
3.790823             1.240216            
3.690958             1.201080            
3.591093             1.161943            
3.491228             1.122807            
3.391363             1.083671            
3.291498             1.044534            
3.191633             1.005398            
3.091768             0.966262            
2.991903             0.927126            
2.892038             0.887989            
2.792173             0.848853            
2.692308             0.809717            
2.592443             0.770580            
2.492578             0.731444            
2.392713             0.692308            
2.292848             0.653171            
2.192982             0.614035            
2.093117             0.574899            
1.993252             0.535762            
1.893387             0.496626            
1.793522             0.457490            
1.693657             0.418354            
1.593792             0.379217            
1.493927             0.340081            
1.394062             0.300945            
1.294197             0.261808            
1.194332             0.222672            
1.094467             0.183536            
0.994602             0.144399            
0.894737             0.105263            
4.842105             1.473684            
4.741565             1.437922            
4.641026             1.402159            
4.540486             1.366397            
4.439946             1.330634            
4.339406             1.294872            
4.238866             1.259109            
4.138327             1.223347            
4.037787             1.187584            
3.937247             1.151822            
3.836707             1.116059            
3.736167             1.080297            
3.635628             1.044534            
3.535088             1.008772            
3.434548             0.973009            
3.334008             0.937247            
3.233468             0.901484            
3.132928             0.865722            
3.032389             0.829960            
2.931849             0.794197            
2.831309             0.758435            
2.730769             0.722672            
2.630229             0.686910            
2.529690             0.651147            
2.429150             0.615385            
2.328610             0.579622            
2.228070             0.543860            
2.127530             0.508097            
2.026991             0.472335            
1.926451             0.436572            
1.825911             0.400810            
1.725371             0.365047            
1.624831             0.329285            
1.524291             0.293522            
1.423752             0.257760            
1.323212             0.221997            
1.222672             0.186235            
1.122132             0.150472            
1.021592             0.114710            
0.921053             0.078947            
4.894737             1.315789            
4.793522             1.283401            
4.692308             1.251012            
4.591093             1.218623            
4.489879             1.186235            
4.388664             1.153846            
4.287449             1.121457            
4.186235             1.089069            
4.085020             1.056680            
3.983806             1.024291            
3.882591             0.991903            
3.781377             0.959514            
3.680162             0.927126            
3.578947             0.894737            
3.477733             0.862348            
3.376518             0.829960            
3.275304             0.797571            
